Id,Name,Age
Q4616,Marilyn Monroe,21
Q4622,Francesco Filelfo,40
Q4631,Mohamed Morsi,28
Q4652,Mary Stewart,16
Q4673,Paul Otto,25
Q4689,Joan Lorring,35
Q4690,Margaret Wycherly,37
Q4695,Jean-Jacques Kieffer,36
Q4700,Claude Debussy,29
Q4701,Manfred von Richthofen,38
Q4723,Charles II de Croÿ,28
Q4724,Le Corbusier,18
Q4725,"Elizabeth Smith-Stanley, Countess of Derby",34
Q4735,John Hamilton,14
Q4742,Manoel da Costa Ataíde,17
Q4752,Jenő Ábel,28
Q4757,Yves Mariot,18
Q4761,Ernst Mielck,19
Q4762,Roy Budd,40
Q4768,Karl Bryullov,26
Q4769,Anthony Sweijs,16
Q4774,András Fáy,18
Q4786,Marie-Jean-Léon d'Hervey de Saint Denys,17
Q4805,Nicholas Prokopievich Miholaps,35
Q4813,Lady Ann Cunningham,29
Q4826,Rosa Valetti,17
Q4833,Marcel Doret,33
Q4866,Chris Hooijkaas,30
Q4889,Marcus Ravenswaaij,15
Q4896,"William Hamilton, Duke of Hamilton",30
Q4899,Francis Marrash,33
Q4924,"Isabella I, Queen of Armenia",37
Q4926,Birger Kildal,16
Q4933,Otto Richard Kierulf,26
Q4985,Herman Melville,23
Q4989,Emperor Taizu of Liao,25
Q4991,Emperor Taizong of Liao,18
Q4992,Emperor Shizong of Liao,35
Q3611993,Issa Annamoradnejad,40
Q4993,Emperor Muzong of Liao,26
Q4997,Emperor Jingzong of Liao,27
Q5000,Emperor Shengzong of Liao,34
Q5005,Emperor Xingzong of Liao,14
Q5007,Emperor Daozong of Liao,33
Q5009,Emperor Tianzuo of Liao,40
Q5031,Elder Paisios of Mount Athos,27
Q5060,Emperor Taizu of Jin,39
Q5069,Emperor Modi of Jin,38
Q5070,Emperor Taizong of Jin,36
Q5071,Emperor Xizong of Jin,26
Q5072,Emperor Hailingwang of Jin,38
Q5073,Emperor Shizong of Jin,22
Q5074,Emperor Zhangzong of Jin,34
Q5076,Wanyan Yongji,33
Q5080,Emperor Xuanzong of Jin,32
Q5081,Emperor Aizong of Jin,40
Q5152,Mustafa Kemal Atatürk,40
Q5167,Ramesses VI,21
Q5172,Jean Bodel,26
Q5198,Walter of Châtillon,21
Q5208,Huang Xianfan,18
Q5233,François-Édouard Picot,40
Q5236,Edward II of England,26
Q5260,Jaufre Rudel,26
Q5269,Peire Vidal,30
Q5271,Hugh Primas,35
Q5280,Laurent Mourguet,20
Q5327,Adolf Butenandt,24
Q5333,Charles Lyell,39
Q5347,Franc Gubenšek,14
Q5348,Jovan Hadži,17
Q5349,Fran Jesenko,34
Q5351,William IX,26
Q5352,Ernest Mayer,18
Q5353,Gilles de Corbeil,22
Q5355,Gilles de Paris,15
Q5356,Gautier de Coincy,23
Q5361,Geoffrey of Villehardouin,38
Q5363,Maria de Ventadorn,40
Q5364,Anton Polenec,38
Q5371,Theobald of Étampes,39
Q5376,Robert the Monk,24
Q5382,Wace,26
Q5383,David Bowie,24
Q5396,Louis Blériot,32
Q5432,Francisco Goya,34
Q5443,Greta Garbo,27
Q5444,Pietro Mennea,39
Q5454,Isabella Teotochi Albrizzi,28
Q5458,Rudolf Feustel,37
Q5547,Antonio Canova,33
Q5553,Luigi Bailo,27
Q5558,Bartolomeo Coghetto,34
Q5571,Andrea del Sarto,29
Q5577,Salvador Dalí,25
Q5580,Albrecht Dürer,14
Q5581,Vittore Carpaccio,29
Q5582,Vincent van Gogh,17
Q5585,Giovanni Giocondo,34
Q5586,Katsushika Hokusai,24
Q5588,Frida Kahlo,37
Q5589,Henri Matisse,40
Q5591,Pinturicchio,27
Q5592,Michelangelo,27
Q5593,Pablo Picasso,36
Q5594,Antonello da Messina,38
Q5597,Raphael,17
Q5598,Rembrandt,22
Q5599,Peter Paul Rubens,34
Q5603,Andy Warhol,25
Q5604,Frank Lloyd Wright,37
Q5623,Aimeric de Peguilhan,14
Q5626,Odo of Deuil,24
Q5630,Fulcher of Chartres,20
Q5631,Hugh of Fouilloy,24
Q5648,Gautier d'Arras,39
Q5649,Gui de Cambrai,14
Q5651,John of Hauville,17
Q5656,Héloïse d’Argenteuil,32
Q5658,Hugues III d'Oisy,24
Q5659,Conon de Béthune,29
Q5661,Lambert of Ardres,27
Q5664,Fra Angelico,19
Q5669,Sandro Botticelli,14
Q5670,Abu Nuwas,20
Q5673,Hans Christian Andersen,34
Q5676,Matsuo Bashō,19
Q5679,Lord Byron,17
Q5681,Andrea Mantegna,25
Q5682,Miguel de Cervantes,33
Q5683,Geoffrey Chaucer,21
Q5685,Anton Chekhov,14
Q5686,Charles Dickens,15
Q5721,Philippe Pétain,40
Q5738,Adolphe Thiers,40
Q5749,Pierre-Joseph Proudhon,31
Q5752,Peter Kropotkin,30
Q5809,Che Guevara,25
Q5811,Masaccio,19
Q5816,Mao Zedong,38
Q5822,Piero della Francesca,20
Q5827,Pietro Perugino,39
Q5878,Gabriel García Márquez,30
Q5879,Johann Wolfgang von Goethe,32
Q5912,Marcel Duchamp,40
Q5921,Chuck Berry,16
Q5928,Jimi Hendrix,37
Q5950,James Brown,31
Q5969,Eddie Cochran,25
Q5977,Buddy Holly,40
Q6050,Anna de Noailles,19
Q6101,Marco Polo,36
Q6105,Hebe Camargo,30
Q6107,Tupac Shakur,16
Q6198,Pepi II,18
Q6215,Ramesses VII,18
Q6240,Hafez,14
Q6353,Gerardus Mercator,29
Q6473,Klaus Störtebeker,30
Q6512,Søren Kierkegaard,25
Q6515,Mervyn Peake,15
Q6527,Jean-Jacques Rousseau,28
Q6530,Stanisław Lem,33
Q6538,Günter Grass,24
Q6682,Gustave Doré,25
Q6694,Alexander von Humboldt,34
Q6701,Jacob Grimm,14
Q6711,Allen Ginsberg,22
Q6714,Wilhelm Grimm,26
Q6722,Carl Friedrich Gauss,22
Q6733,Edward Teller,19
Q6882,James Joyce,30
Q7031,Luca Signorelli,28
Q7068,Julien Offray de La Mettrie,26
Q7071,Li Bai,23
Q7085,Niels Bohr,27
Q7091,Évariste Galois,24
Q7099,Emmy Noether,27
Q7103,Sophie Germain,33
Q7104,Baron d'Holbach,33
Q7122,Michel Audiard,17
Q7129,Cosimo Tura,31
Q7161,José María Ventura Casas,15
Q7186,Marie Curie,33
Q7196,Qin Er Shi,37
Q7197,Simone de Beauvoir,17
Q7199,Marcel Proust,17
Q7200,Alexander Pushkin,37
Q7201,Dorothy M. Needham,28
Q7203,Ziying,22
Q7207,Elizabeth I of England,26
Q7210,Emperor Gaozu of Han,20
Q7214,Emperor Hui of Han,21
Q7221,Emperor Wen of Han,23
Q7224,Emperor Jing of Han,24
Q7225,Emperor Wu of Han,19
Q7226,Joan of Arc,38
Q7227,Emperor Zhao of Han,32
Q7228,Prince of Changyi,38
Q7229,Marie-Anne Paulze Lavoisier,29
Q7230,Emperor Xuan of Han,35
Q7231,Rosa Luxemburg,17
Q7232,Emperor Yuan of Han,26
Q7234,Emperor Cheng of Han,39
Q7236,Lucy Weston Pickett,24
Q7237,Emperor Ai of Han,22
Q7241,Rabindranath Tagore,37
Q7243,Leo Tolstoy,15
Q7244,Emperor Ping of Han,31
Q7245,Mark Twain,26
Q7247,Ruzi Ying,14
Q7249,Agnes Pockels,39
Q7250,Wang Mang,25
Q7251,Alan Turing,39
Q7259,Ada Lovelace,16
Q7265,Liu Penzi,38
Q7267,Hazel Alden Reason,29
Q7268,Emperor Guangwu of Han,32
Q7271,Emperor Ming of Han,23
Q7273,Ellen Swallow Richards,39
Q7277,Emperor Zhang of Han,17
Q7280,Emperor He of Han,40
Q7285,Emperor An of Han,20
Q7286,Émilie du Châtelet,16
Q7287,Ruby Hirose,22
Q7289,Emperor Shun of Han,34
Q7294,Johannes Brahms,15
Q7297,Emperor Huan of Han,26
Q7298,Antonín Dvořák,38
Q7299,Emperor Ling of Han,30
Q7301,Prince of Hongnong,35
Q7302,George Frideric Handel,21
Q7304,Gustav Mahler,39
Q7306,Patsy O'Connell Sherman,16
Q7311,Giacomo Puccini,26
Q7312,Franz Schubert,21
Q7314,Igor Stravinsky,29
Q7315,Pyotr Ilyich Tchaikovsky,40
Q7316,Emperor Xian of Han,30
Q7317,Giuseppe Verdi,33
Q7321,Jacques Cartier,18
Q7322,Christopher Columbus,24
Q7324,James Cook,21
Q7326,Hernán Cortés,37
Q7327,Yuri Gagarin,21
Q7328,Vasco da Gama,22
Q7331,Ibn Battuta,22
Q7333,Zheng He,39
Q7336,Otto Frank,21
Q7337,Edith Frank-Holländer,38
Q7339,Margot Frank,23
Q7346,John Coltrane,39
Q7349,Joseph Haydn,18
Q7351,Robert Schumann,36
Q7356,Emperor Wu of Jin,37
Q7357,Emperor Hui of Jin,22
Q7360,Sima Lun,15
Q7361,Emperor Huai of Jin,21
Q7371,Federico Fellini,31
Q7374,Alfred Hitchcock,26
Q7382,Emperor Min of Jin,40
Q7392,Emperor Yuan of Jin,24
Q7393,Emperor Ming of Jin,33
Q7394,Emperor Cheng of Jin,40
Q7395,Emperor Kang of Jin,27
Q7396,Emperor Mu of Jin,14
Q7398,Emperor Ai of Jin,33
Q7399,Emperor Fei of Jin,33
Q7400,Emperor Jianwen of Jin,21
Q7402,Emperor Xiaowu of Jin,26
Q7403,Emperor An of Jin,33
Q7404,Emperor Gong of Jin,34
Q7406,Kamala Sohonie,29
Q7409,Hertha Sponer,16
Q7410,Anna Sundström,28
Q7415,Mária Telkes,25
Q7416,Margaret Thatcher,32
Q7418,Emperor Wen of Sui,32
Q7419,Emperor Yang of Sui,32
Q7420,Emperor Gong of Sui,16
Q7422,Yang Tong,25
Q7423,Karen Wetterhahn,22
Q7424,Elsie Widdowson,36
Q7429,Nina Andreyeva,29
Q7433,Myrtle Bachelder,25
Q7435,Leslie Barnett,15
Q7438,Emperor Jingzong of Western Xia,18
Q7440,Ruth R. Benerito,19
Q7443,Emperor Yizong of Western Xia,33
Q7444,Hazel Bishop,17
Q7445,Lucy Everest Boole,26
Q7446,Rachel Fuller Brown,33
Q7447,Emma P. Carr,39
Q7448,Emperor Huizong of Western Xia,31
Q7450,Asima Chatterjee,26
Q7453,Emperor Renzong of Western Xia,24
Q7456,Emperor Xiangzong of Western Xia,33
Q7457,Emperor Shenzong of Western Xia,38
Q7458,Emperor Xianzong of Western Xia,35
Q7465,Mildred Cohn,15
Q7470,Mary Peters Fieser,35
Q7471,Emperor Taizu of Song,39
Q7473,Emperor Taizong of Song,36
Q7474,Rosalind Franklin,29
Q7475,Emperor Zhenzong of Song,19
Q7477,Emperor Renzong of Song,33
Q7478,Elizabeth Fulhame,20
Q7479,Emperor Yingzong of Song,37
Q7480,Louise Giblin,22
Q7481,Mary L. Good,40
Q7482,Louise Hammarström,19
Q7483,Emperor Shenzong of Song,39
Q7484,Emperor Zhezong of Song,24
Q7485,Anna J. Harrison,35
Q7486,Emperor Huizong of Song,28
Q7487,Dorothy Hodgkin,22
Q7488,Emperor Qinzong of Song,24
Q7489,Emperor Gaozong of Song,34
Q7490,Clara Immerwahr,25
Q7491,Jane Stafford,37
Q7492,Emperor Xiaozong of Song,29
Q7494,Emperor Guangzong of Song,18
Q7496,Emperor Ningzong of Song,15
Q7497,Emperor Lizong of Song,22
Q7498,Emperor Duzong of Song,34
Q7500,Emperor Gong of Song,20
Q7504,Irène Joliot-Curie,35
Q7506,Joyce Jacobson Kaufman,23
Q7509,Stephanie L. Kwolek,19
Q7513,Kathleen Lonsdale,40
Q7515,Maud Menten,30
Q7517,Tolui,14
Q7519,Ögedei Khan,27
Q7521,Möngke Khan,40
Q7522,Carmen Hermosillo,17
Q7523,Kublai Khan,15
Q7531,Louise Nevelson,22
Q7541,Sally Floyd,38
Q7542,Prince,19
Q7546,Ingmar Bergman,21
Q7555,Jude Milhon,20
Q7563,Joyce K. Reynolds,35
Q7604,Leonhard Euler,37
Q7721,Napoleon III,16
Q7723,Napoleon II,22
Q7724,August Strindberg,25
Q7726,Joseph Bonaparte,38
Q7728,Grazia Deledda,40
Q7729,Louis Bonaparte,14
Q7731,Alexis of Russia,39
Q7732,Louis XVI of France,24
Q7738,Louis XV of France,34
Q7742,Louis XIV of France,15
Q7750,Louis XVIII of France,17
Q7751,Giuseppe Arcimboldo,33
Q7758,Charles X of France,22
Q7767,Eduard Hau,28
Q7770,Francesco Bacchiacca,33
Q7771,Louis Philippe I,25
Q7780,Fra Bartolomeo,26
Q7789,Ambrogio Bergognone,33
Q7793,Donato Bramante,40
Q7799,Bramantino,16
Q7814,Giotto di Bondone,40
Q7824,Annibale Carracci,18
Q7833,Boris Vian,20
Q7836,René Magritte,40
Q7841,Alfred Jarry,37
Q7934,Frank Herbert,24
Q7981,Lluís Companys,40
Q7990,Rurik,19
Q7996,Ivan IV Vasilyevich,39
Q8003,Sergei Eisenstein,31
Q8005,Josep Tarradellas i Joan,21
Q8006,Akira Kurosawa,14
Q8007,Franklin Delano Roosevelt,40
Q8016,Winston Churchill,33
Q8018,Augustine of Hippo,36
Q8023,Nelson Mandela,18
Q8027,Martin Luther King Jr.,29
Q8045,Ramesses VIII,26
Q8053,Jules Hardouin Mansart,19
Q8056,Louis Antoine de Pardaillan de Gondrin,16
Q8058,Guy Georget,33
Q8159,Paul Bocuse,22
Q8262,Kurt Von Hess,15
Q8270,Claes Gerritszoon Compaen,38
Q8284,Ivan Dirkie de Veenboer,35
Q8286,Dean Ho,32
Q8287,Elmer Gethin Rees,35
Q8346,Albert Arnold Gillespie,17
Q8351,Fred Sersen,39
Q8367,Hans Schmidt,14
Q8384,Louis X of France,32
Q8409,Alexander the Great,36
Q8423,Cyrus the Great,22
Q8433,Philip V of France,29
Q8440,Hugo Chávez,19
Q8442,Otto von Bismarck,33
Q8446,Kurt Cobain,30
Q8453,Cima da Conegliano,22
Q8457,Antonio da Correggio,35
Q8462,Timur,40
Q8467,Umar ibn Al-Khattāb,31
Q8468,Temür Khan,38
Q8474,Suleiman the Magnificent,25
Q8479,Peter the Great,23
Q8506,Il Sodoma,20
Q8511,Lorenzo di Credi,33
Q8537,Bernardino Luini,23
Q8540,Ayurbarwada Buyantu Khan,36
Q8549,Gegeen Khan,22
Q8556,Edsger W. Dijkstra,34
Q8560,Yesün Temür Khan,15
Q8573,Sun Yat-sen,38
Q8597,Akbar,31
Q8605,Simón Bolívar,27
Q8612,Andrew Johnson,39
Q8619,Pierre Trudeau,19
Q8620,Kwame Nkrumah,29
Q8644,Gordon Jennings,14
Q8651,Douglas Shearer,31
Q8659,Khutughtu Khan,23
Q8662,L. B. Abbott,22
Q8677,Juan Trippe,24
Q8704,Walt Disney,18
Q8743,Thomas Alva Edison,33
Q8750,Michael Faraday,33
Q8753,Enrico Fermi,33
Q8755,Colin Maclaurin,25
Q8763,Fibonacci,22
Q8768,Henry Ford,39
Q8772,Joseph Fourier,16
Q8776,Georg Falck,17
Q8814,Augustin-Louis Cauchy,35
Q8873,Satyajit Ray,37
Q8948,Arnošt Muka,32
Q8958,Johannes Gutenberg,28
Q8962,James Prescott Joule,34
Q8963,Johannes Kepler,37
Q9021,Max Planck,28
Q9036,Nikola Tesla,22
Q9041,James Watt,15
Q9047,Gottfried Wilhelm Leibniz,23
Q9061,Karl Marx,34
Q9082,Joseph Victor von Scheffel,27
Q9095,James Clerk Maxwell,24
Q9099,Tabaré Vázquez,28
Q9106,Dmitri Mendeleev,33
Q9123,Ernest Rutherford,38
Q9130,Erwin Schrödinger,38
Q9161,Josip Broz Tito,26
Q9191,René Descartes,34
Q9200,Paul,28
Q9204,C. S. Lewis,20
Q9215,Sigmund Freud,39
Q9235,Georg Wilhelm Friedrich Hegel,32
Q9312,Immanuel Kant,39
Q9317,John Maynard Keynes,22
Q9319,Jacopo Tintoretto,36
Q9327,Guy de Maupassant,35
Q9342,Palma Vecchio,36
Q9348,Parmigianino,39
Q9353,John Locke,25
Q9358,Friedrich Nietzsche,29
Q9364,Jean-Paul Sartre,21
Q9372,Sima Qian,23
Q9381,Adam Smith,19
Q9387,Max Weber,40
Q9391,Ludwig Wittgenstein,34
Q9397,Zhu Xi,19
Q9399,Silvius Magnago,20
Q9422,Mahavira,33
Q9434,Arnold Palmer,28
Q9438,Thomas Aquinas,24
Q9439,Queen Victoria,15
Q9440,Paolo Veronese,33
Q9458,Muhammad,26
Q9486,Graham Taylor,14
Q9513,A. P. J. Abdul Kalam,15
Q9546,Al-Ghazali,36
Q9554,Martin Luther,36
Q9576,James Callaghan,30
Q9582,Gerald Ford,16
Q9588,Richard Nixon,30
Q9602,Frances E. Allen,38
Q9640,Lyndon B. Johnson,30
Q9685,"Diana, Princess of Wales",36
Q9695,Henry Purcell,22
Q9696,John F. Kennedy,32
Q9700,Emperor Gaozu of Tang,34
Q9701,Emperor Taizong of Tang,33
Q9703,Emperor Gaozong of Tang,21
Q9711,Honoré de Balzac,24
Q9717,Emperor Zhongzong of Tang,39
Q9722,Emperor Ruizong of Tang,18
Q9726,Gioachino Rossini,17
Q9738,Wu Zetian,38
Q9743,Emperor Shang of Tang,39
Q9746,Emperor Xuanzong of Tang,29
Q9749,Emperor Suzong of Tang,18
Q9753,Emperor Daizong of Tang,30
Q9755,Emperor Dezong of Tang,18
Q9760,Emperor Shunzong of Tang,33
Q9761,Emperor Xianzong of Tang,17
Q9763,Emperor Muzong of Tang,39
Q9776,Emperor Jingzong of Tang,15
Q9790,Emperor Wenzong of Tang,21
